# ell observed_D_uK2 conditional_model_D_coadded_uK2 error_minus_uK2 error_plus_uK2 residual_over_quoted_error
125 -3.43450857000000e+01 -3.85059085343973e+01 8.24050973000000e+00 8.24050973000000e+00 5.04922992718470e-01
126 -3.83545349000000e+01 -3.90119926789828e+01 8.29013508000000e+00 8.29013508000000e+00 7.93060393634549e-02
127 -4.17993836000000e+01 -3.95046644062356e+01 8.33860097000000e+00 8.33860097000000e+00 -2.75192349654354e-01
128 -5.09680628000000e+01 -3.99834681030366e+01 8.38576875000000e+00 8.38576875000000e+00 -1.30990908817553e+00
129 -3.78965354000000e+01 -4.04478740280707e+01 8.43164021000000e+00 8.43164021000000e+00 3.02591021975156e-01
130 -3.55426103000000e+01 -4.08972783122161e+01 8.47619993000000e+00 8.47619993000000e+00 6.31729791231590e-01
131 -3.17514900000000e+01 -4.13312293837704e+01 8.51941347000000e+00 8.51941347000000e+00 1.12445996634677e+00
132 -2.74802254000000e+01 -4.17492166284565e+01 8.56128218000000e+00 8.56128218000000e+00 1.66668857870265e+00
133 -4.92980600000000e+01 -4.21508075117692e+01 8.60173104000000e+00 8.60173104000000e+00 -8.30908622345249e-01
134 -4.57452083000000e+01 -4.25354211540698e+01 8.64078137000000e+00 8.64078137000000e+00 -3.71469547542808e-01
135 -5.27694568000000e+01 -4.29027736376968e+01 8.67849182000000e+00 8.67849182000000e+00 -1.13691219245779e+00
136 -5.79134653000000e+01 -4.32522100456349e+01 8.71473576000000e+00 8.71473576000000e+00 -1.68235224315799e+00
137 -3.75161844000000e+01 -4.35832982041600e+01 8.74959118000000e+00 8.74959118000000e+00 6.93416832780528e-01
138 -4.66130674000000e+01 -4.38956802463665e+01 8.78301938000000e+00 8.78301938000000e+00 -3.09391000527825e-01
139 -4.02439371000000e+01 -4.41889241757137e+01 8.81503696000000e+00 8.81503696000000e+00 4.47529272266793e-01
140 -2.98123802000000e+01 -4.44625980830036e+01 8.84565061000000e+00 8.84565061000000e+00 1.65620580429003e+00
141 -3.41803927000000e+01 -4.47163443631890e+01 8.87476999000000e+00 8.87476999000000e+00 1.18718025087533e+00
142 -5.77610209000000e+01 -4.49496570606436e+01 8.90251061000000e+00 8.90251061000000e+00 -1.43907313347829e+00
143 -4.74267411000000e+01 -4.51622529571974e+01 8.92879691000000e+00 8.92879691000000e+00 -2.53616267188965e-01
144 -4.17062120000000e+01 -4.53537004813841e+01 8.95366509000000e+00 8.95366509000000e+00 4.07373789919599e-01
145 -4.51513850000000e+01 -4.55234939247486e+01 8.97707443000000e+00 8.97707443000000e+00 4.14510236770583e-02
146 -5.23477130000000e+01 -4.56714245296136e+01 8.99904987000000e+00 8.99904987000000e+00 -7.41888151175049e-01
147 -4.36175140000000e+01 -4.57969125263687e+01 9.01957181000000e+00 9.01957181000000e+00 2.41629932360244e-01
148 -3.85834656000000e+01 -4.58996750925341e+01 9.03865356000000e+00 9.03865356000000e+00 8.09435768720189e-01
149 -4.10469273000000e+01 -4.59792810434713e+01 9.05627027000000e+00 9.05627027000000e+00 5.44634114974497e-01
150 -4.03583761000000e+01 -4.60352992660886e+01 9.07248944000000e+00 9.07248944000000e+00 6.25729377105625e-01
151 -4.51883336000000e+01 -4.60674444049458e+01 9.08727444000000e+00 9.08727444000000e+00 9.67408666647257e-02
152 -5.10346470000000e+01 -4.60754201817809e+01 9.10070746000000e+00 9.10070746000000e+00 -5.44927615794288e-01
153 -4.80748457000000e+01 -4.60589276356038e+01 9.11277308000000e+00 9.11277308000000e+00 -2.21218946932915e-01
154 -3.26457056000000e+01 -4.60178163035130e+01 9.12353780000000e+00 9.12353780000000e+00 1.46567165025754e+00
155 -5.57676742000000e+01 -4.59517131288136e+01 9.13301049000000e+00 9.13301049000000e+00 -1.07477825432634e+00
156 -4.81573110000000e+01 -4.58604677657107e+01 9.14120023000000e+00 9.14120023000000e+00 -2.51262763805506e-01
